file	page	type	flag	text
P27-9.pdf	1	hl		On the contrary, fixed dosing is noninferior to or even better than currently recommended weight-based regimen in adult patients in some cases (eg, cyclosporine microemulsion, recombinant activated Factor VII, and epoetin α).
P28-1.pdf	2	hl		一只手握住注射器筒，另一只手逆时针拧开护帽。请勿移除鲁尔锁接口和手指握柄。
P28-1.pdf	2	hl		按顺时针方向拧入无菌鲁尔锁针头，直至针头与注射器紧密连接。由于产品的黏性，使用25G或更大号的针头。
P28-1.pdf	2	hl		在大腿前外侧肌肉注射预充式注射器的全部内容物。不应注射于臀部或可能存在主要神经干和/或血管的部位。
P28-1.pdf	13	hl		使用前将预充式注射器在原包装中避光保存于2°C -8°C 冷藏条件下。
P28-1.pdf	13	hl		本品在20°C-25°C 室温条件下最多保存48 小时。从冰箱取出后须在48 小时内使用或丢弃。
P28-1.pdf	13	hl		请勿冷冻、请勿振摇。
P28-1.pdf	2	hl		从冰箱中取出本品后在室温下放置约15 分钟，使预充式注射器复温。注射前应目视检查注射液中是否存在不溶性微粒、是否有变色。
P28-1.pdf	2	hl		如果预充式注射器跌落或损坏、包装盒上的安全密封破损或产品已超过有效期，请勿使用。
P29-1.pdf	4	hl		在ＲＳＶ流行季节性明显的地区，对出生在ＲＳＶ流行季外的婴儿，其最佳注射时机为当地ＲＳＶ开始流行前，以最大程度发挥注射保护效果；对出生在ＲＳＶ流行期间的婴儿，最佳注射策略为出生后尽早注射。
P29-1.pdf	4	hl		我国地域辽阔，各地ＲＳＶ流行季存在差异，因此最佳注射时间有所不同，具体注射时间参照当地卫生主管部门的指导意见执行。
P29-1.pdf	4	hl		我国多数省份存在典型ＲＳＶ流行季（典型ＲＳＶ流行季为１１月至次年４月），适合季节性注射策略
P29-1.pdf	4	hl		靠近热带地区的低纬度省份（如云南、广东、福建等）ＲＳＶ流行时间不固定，应结合当地监测数据和临床门诊、病房ＲＳＶ检出情况评估注射开始时间，并适当延长预防注射时间窗；也可参考ＷＨＯ的全年注射方案，即出生后尽早注射１剂尼塞韦单抗［３４］。
P29-3.pdf	4	hl		2009—2023年我国HRSV主要以冬、春季流行为主，尤其是在北方地区，每年11月至次年1月是北方地区HRSV的主要流行季节
P29-3.pdf	4	hl		南方地区HRSV呈现多峰流行模式，在3、8和12月均出现小的流行高峰
P29-4.pdf	2	hl		在我国热带、亚热带地区RSV感染呈全年流行趋势，流行高峰持续时间较长且难以预测，建议实施全年免疫预防策略，以有效应对RSV流行的不确定性。
P29-4.pdf	2	hl		RSV的季节性特征不明显，呈现全年流行的特点
P29-4.pdf	5	hl		建议婴儿出生后尽早注射长效RSV单抗；若出生后未能及时注射，应在出院前或出院后尽早完成注射，以确保早期获得免疫保护。
P29-4.pdf	2	hl		本共识中热带、亚热带地区包括但不限于广东、福建、广西、云南、海南等省份及台湾、香港、澳门地区等。
P3-1.pdf	2	hl		RSV属于副黏病毒科肺病毒属，是一种有包膜的单股负链RNA病毒
P3-1.pdf	2	hl		G蛋白是病毒包膜表面的糖蛋白，主要通过与宿主细胞表面的黏附因子相互作用从而将病毒黏附于细胞表面。
P3-1.pdf	2	hl		在三种病毒包膜蛋白中，G蛋白和F蛋白是病毒黏附和融合的关键蛋白，SH蛋白的功能尚不明确。
P3-1.pdf	2	hl		Ｇ蛋白是ＲＳＶ毒株中变异性最强的蛋白ꎬ其变异将ＲＳＶ分为了Ａ亚型和Ｂ亚型ꎮ
P3-1.pdf	2	hl		Ｆ蛋白主要介导质膜间的融合ꎮ
P3-1.pdf	2	hl		其中分泌形式的Ｇ蛋白可以与宿主特异性中和抗体相结合ꎬ导致免疫逃逸ꎮ
P3-1.pdf	2	hl		在融合启动前ꎬＦ蛋白采用融合前构象ꎬ这种构象是不稳定的ꎬ具有较低的能量屏障ꎬ在距离宿主细胞膜很近的时候ꎬ融合肽插入宿主细胞膜中ꎬＦ蛋白得以跨越病毒包膜和宿主细胞两层膜
P3-4.pdf	2	hl		呼吸道合胞病毒（RSV）是引起急性呼吸道感染（ARTI）的主要病原体之一，各年龄段的人群都普遍易感，但在婴幼儿、特殊健康状态儿童和老年人群中，病情往往更为严重。
P3-4.pdf	3	hl		RSV流行高峰期的基本再生数（R0）均值约为4.5，即单个感染者在整个传染期内平均能够传染约4.5人，显著高于流感病毒、鼻病毒和腺病毒
P3-5.pdf	1	hl		The potential impact of an influenza pandemic can be assessed by calculating a set of transmissibility parameters, the most important being the reproduction number (R), which is defined as the average number of secondary cases generated per typical infectious case.
P3-5.pdf	2	hl		If R is calculated in a population entirely susceptible to infection (or where an assumption about population susceptibility to infection is made), then R is known as the basic reproduction number (R0).
P3-5.pdf	1	hl		These R values represent the difference between epidemics that are controllable and cause moderate illness and those causing a significant number of illnesses and requiring intensive mitigation strategies to control.
P3-5.pdf	1	hl		Twenty-four studies reported 47 seasonal epidemic R values. The median R value for seasonal influenza was 1.28 (IQR: 1.19–1.37).
P3-6.pdf	1	hl		With a mean serial interval of 7.5 days (95% CI, 5.3 to 19), the basic reproductive number was estimated to be 2.2 (95% CI, 1.4 to 3.9).
P3-7.pdf	1	hl		The basic reproduction number (R0), pronounced “R naught,” is intended to be an indicator of the contagiousness or transmissibility of infectious and parasitic agents.
P3-7.pdf	1	hl		An R0 for an infectious disease event is generally reported as a single numeric value or low–high range, and the interpretation is typically presented as straightforward; an outbreak is expected to continue if R0 has a value >1 and to end if R0 is <1
P30-1.pdf	3	hl		本品可与儿童疫苗同时使用（参见【药物相互作用】）。
P30-1.pdf	5	hl		由于本品为单克隆抗体，是一种RSV特异性被动免疫，预期不会干扰合并接种疫苗的主动免疫应答。
P30-1.pdf	5	hl		在临床试验中，本品与常规儿童疫苗同时使用时，安全性特征与本品和儿童疫苗单独使用时相当。
P31-2.pdf	16	hl		Pooled efficacy data from infants from the Phase 2b trial that received the optimal dose (i.e. infants <5kg) and data from all infants in the Phase 3 trial showed pooled efficacy of 77.3% (95% CI: 50.3-89.7) against RSV-associated LRTI with hospitalization and 79.5% (95% CI: 65.9-87.7) against medically attended RSV-associated LRTI.
P31-2.pdf	16	hl		All efficacy outcomes were measured up until 151 days (i.e. 5 months).
P31-2.pdf	21	hl		In a seasonal approach, administration of a single dose of a long-acting monoclonal antibody is recommended for infants and should begin shortly before the start of the RSV season, as well as at birth or the earliest opportunity thereafter for infants born during the RSV season.
P31-2.pdf	5	hl		Accordingly, the goal of RSV immunization is not to prevent infection but rather to reduce the severity of disease.
P31-3.pdf	7	hl		方案004研究是一项在北半球和南半球的22个国家/地区进行的IIb/III期、随机、双盲、安慰剂对照、多中心试验，用于评估克莱罗韦单抗在早期和中期早产儿（GA≥29至<35周）以及晚期早产儿和足月儿（GA≥35周）中的保护效力。
P31-3.pdf	7	hl		主要终点是给药后150天内RSV所致需就医的下呼吸道感染（MALRI）的发生率，特征为咳嗽或呼吸困难，以及符合≥1个下呼吸道感染（LRI）（哮鸣、啰音/爆裂音）或严重程度指标（胸壁凹陷/收缩、低氧血症、呼吸急促、呼吸道症状引起的脱水）。
P31-3.pdf	9	hl		中国亚组人群中RSV所致终点的保护效力（表4）与全球总体研究人群的保护效力（表3）基本一致。
P31-3.pdf	1	hl		本品适用于即将进入或出生在第一个呼吸道合胞病毒（RSV）流行季的新生儿和婴儿预防RSV 所致的下呼吸道感染。
P31-3.pdf	8	hl		早产儿和足月儿给药后第1 天至第150 天RSV 所致疾病终点的保护效力结果，见表3。
P31-3.pdf	9	hl		中国亚组人群中，早产儿和足月儿给药后第1 天至第150 天RSV 所致疾病终点的保护效力结果，见表4。
P8-1.pdf	3	hl		建议6（共识水平：92%）：呼吸支持和液体管理等对症支持治疗是管理儿童RSV下呼吸道感染的主要措施。
P8-1.pdf	4	hl		建议7（共识水平：96%）：鉴于抗病毒药物的安全性和有效性，通常不推荐RSV下呼吸道感染儿童常规应用利巴韦林等抗病毒治疗，但免疫抑制（如造血干细胞移植等）患儿应用利巴韦林可能获益。
P8-1.pdf	5	hl		长效单克隆抗体可以有效预防婴儿RSV感染。
P8-11.pdf	2	hl		RSV infection in infants has been identified as a major global priority, but currently, there are no effective anti-RSV drugs or vaccines licensed for infants.
P8-11.pdf	2	hl		Thus, all infants are the key target population for protection from RSV-LRTI, and prophylactic mAbs represent the best available preventive measure.
P8-11.pdf	2	hl		Based on best practices and evidence from several countries, GPPA recommends that all global and regional organizations, medical societies, and health agencies join hands in AIP against RSV with prophylactic mAbs.
P8-2.pdf	2	hl		婴幼儿特别是1岁以内婴儿感染RSV后引发重症或导致长期不良影响的风险高，且缺乏特异性的抗RSV治疗药物可用，非药物干预措施对该人群效果不理想，有必要对婴幼儿群体尽早实施针对RSV的免疫预防措施。
P8-2.pdf	3	hl		但是对于婴幼儿难以有效实施上述预防手段，故RSV的特异性预防显得尤为重要。
P8-2.pdf	3	hl		长效尼塞韦单抗已于2023年12月正式获得国家药品监督管理局批准，是我国首个获批上市的预防婴幼儿RSV相关下呼吸道疾病的生物制品。
P8-3.pdf	5	hl		With limited treatment options available for RSV, prevention is the most effective strategy to control RSV infection.
P8-3.pdf	4	hl		Currently, the treatment of RSV is mainly supportive and includes supplemental oxygen, adequate hydration, and mechanical ventilatory support when needed.
P8-3.pdf	1	hl		Currently, palivizumab is the only immunoprophylaxis (IP) available to prevent severe RSV in specific high-risk pediatric populations.
P8-5.pdf	1	hl		虽然，RSV已被发现60余年，仍缺乏特异性的有效治疗措施，但近年已有更多候选RSV单克隆抗体、疫苗，为防治RSV带来曙光。
P8-5.pdf	1	hl		预防RSV的措施包含一般预防、被动免疫预防（immunoprophylaxis）和疫苗，被动免疫预防主要是单克隆抗体。
P8-6.pdf	2	hl		婴幼儿特别是1岁以内婴儿感染RSV后引发重症或导致长期不良影响的风险高，且缺乏特异性的抗RSV治疗药物可用，非药物干预措施对该人群效果不理想，有必要对婴幼儿群体尽早实施针对RSV的免疫预防措施。
P8-6.pdf	3	hl		但是对于婴幼儿难以有效实施上述预防手段，故RSV的特异性预防显得尤为重要。
P8-6.pdf	3	hl		长效尼塞韦单抗已于2023年12月正式获得国家药品监督管理局批准，是我国首个获批上市的预防婴幼儿RSV相关下呼吸道疾病的生物制品。
P8-7.pdf	4	hl		RSV感染给全球带来巨大疾病负担，然而尚无被证实安全有效的药物获批用于针对病原体的治疗，因此预防RSV感染已被WHO列为全球首要任务之一。
P8-7.pdf	4	hl		在被动免疫方面，RSV单克隆抗体的成功研发填补了婴幼儿RSV预防需求的空白。
P8-8.pdf	1	hl		近年来，随着单克隆抗体（简称单抗）研发的突破，长效RSV单抗——尼塞韦单抗在全球及我国陆续应用于临床，已成为婴幼儿RSV感染免疫预防的核心干预措施。
P8-8.pdf	2	hl		值得注意的是，新一代长效RSV单抗——尼塞韦单抗已在包括中国在内的多个国家和地区获准上市，其显著优势在于能为婴幼儿提供更持久的免疫保护。
P8-8.pdf	2	hl		鉴于RSV感染对婴幼儿可能造成严重后果，预防已成为当前防控策略的关键环节。
P8-8.pdf	4	hl		长效单抗尼塞韦单抗于2023 年12 月正式获得国家药品监督管理局批准，是目前我国唯一获批用于婴儿预防RSV感染所致LRTI的有效预防手段。
P8-9.pdf	21	hl		For countries deciding to use a long-acting monoclonal antibody as the primary preventive strategy, WHO recommends a single dose at birth, or at the earliest opportunity thereafter if year-round administration is adopted.
P8-9.pdf	20	hl		Given the global burden of severe RSV disease among young infants, WHO recommends that all countries introduce products for the prevention of severe RSV disease in this population.
P9-11.pdf	2	hl		Based on best practices and evidence from several countries, GPPA recommends that all global and regional organizations, medical societies, and health agencies join hands in AIP against RSV with prophylactic mAbs.
P9-11.pdf	3	hl		Virtually all infants can, and therefore should be, immunized against RSV as soon as feasible.
P9-11.pdf	4	hl		In conclusion, prophylactic RSV mAb is safe and effective for reducing the risk of RSV-related LRTIs in all infants.
P9-12.pdf	2	hl		婴幼儿特别是1岁以内婴儿感染RSV后引发重症或导致长期不良影响的风险高，且缺乏特异性的抗RSV治疗药物可用，非药物干预措施对该人群效果不理想，有必要对婴幼儿群体尽早实施针对RSV的免疫预防措施。
P9-12.pdf	3	hl		根据婴幼儿早期感染RSV的特点和新批准上市的RSV长效单抗的作用机制，可在生命早期为婴幼儿提供较为及时、安全的被动免疫保护，预防RSV相关下呼吸道感染。
P9-12.pdf	5	hl		考虑到接种RSV长效单抗后的免疫持久性，在RSV感染流行季前或流行季内接种RSV长效单抗，以确保整个流行季内维持有效的抗体水平。
P9-13.pdf	2	hl		在我国热带、亚热带地区RSV感染呈全年流行趋势，流行高峰持续时间较长且难以预测，建议实施全年免疫预防策略，以有效应对RSV流行的不确定性。
P9-13.pdf	3	hl		婴幼儿（尤其是1岁内婴儿）RSV感染率、住院率和重症风险均高于其他年龄段，在我国热带、亚热带地区应重点针对婴幼儿（尤其是1岁内婴儿）实施全年免疫预防策略，以有效降低RSV传播风险，减轻RSV感染的疾病负担，切实保护婴幼儿的健康。
P9-13.pdf	5	hl		建议婴儿出生后尽早注射长效RSV单抗；若出生后未能及时注射，应在出院前或出院后尽早完成注射，以确保早期获得免疫保护。
P9-13.pdf	4	hl		长效单抗尼塞韦单抗于2023 年12 月正式获得国家药品监督管理局批准，是目前我国唯一获批用于婴儿预防RSV感染所致LRTI的有效预防手段。
P9-8.pdf	4	hl		RSV感染在婴幼儿、老年人以及免疫功能低下患者中的疾病负担较重，建议将这三类高风险人群作为RSV防控工作的重点关注对象。
P9-8.pdf	5	hl		近年来在RSV免疫预防领域，单克隆抗体从鼠源化向人源化的制备演变、从短效制剂向长效制剂的研发突破，以及从高危儿向全婴儿人群的保护扩面，为婴幼儿RSV预防提供了新方案。
P9-8.pdf	8	hl		建议我国1岁以下的健康足月儿、早产儿以及特殊健康状态（先天性疾病、基础疾病）的婴儿在首个RSV流行季来临之前以及在流行季出生时注射尼塞韦单抗，以预防RSV引发的LRTI。
P9-8.pdf	4	hl		在被动免疫方面，RSV单克隆抗体的成功研发填补了婴幼儿RSV预防需求的空白。
P9-9.pdf	20	hl		Given the global burden of severe RSV disease among young infants, WHO recommends that all countries introduce products for the prevention of severe RSV disease in this population.
P9-9.pdf	21	hl		For countries deciding to use a long-acting monoclonal antibody as the primary preventive strategy, WHO recommends a single dose at birth, or at the earliest opportunity thereafter if year-round administration is adopted.
P9-9.pdf	21	hl		In a seasonal approach, administration of a single dose of a long-acting monoclonal antibody is recommended for infants and should begin shortly before the start of the RSV season, as well as at birth or the earliest opportunity thereafter for infants born during the RSV season.
P15-3.pdf	2	hl	ocr	This is a Phase 2b/3 double-blind, randomized, placebo-controlled study to evaluate the efficacy and safety of clesrovimab for the prevention of RSV-associated MALRI in healthy preterm and full-term infants born during or entering their first RSV season.
P15-3.pdf	2	hl	ocr	The efficacy of a single dose of clesrovimab was demonstrated in China healthy preterm and full-term infants, based on the results of RSV-associated MALRI (outpatient and inpatient) and RSV-associated hospitalization in the first RSV season.
P15-3.pdf	2	hl	ocr	Clesrovimab is well tolerated in China healthy preterm and full-term infants born during or entering their first RSV season, with a safety profile generally comparable to placebo.
P15-4.pdf	1	hl	ocr	The primary objectives of this phase 2b/3 double-blind, randomized, placebo-controlled study are to evaluate the efficacy and safety of clesrovimab in healthy pre-term and full-term infants.
P15-4.pdf	1	hl	ocr	It is hypothesized that clesrovimab will reduce the incidence of respiratory syncytial virus (RSV)-associated medically attended lower respiratory infection (MALRI) from Days 1 through 150 postdose compared to placebo.
P21-3.pdf	6	hl	ocr	Administration of clesrovimab reduced the incidence of RSV-associated MALRI (outpatient and inpatient) from Days 1 through 150 postdose compared with placebo, with efficacy of 89.6% (95% CI: 11.0%, 98.8%).
P21-3.pdf	6	hl	ocr	The observed incidence rate of RSV-associated hospitalization was lower in the MK-1654 group compared with the placebo group from Days 1 through 150 postdose, with efficacy of 74.0% (95% CI: -185.8%, 97.6%).
P23-3.pdf	8	hl	ocr	Clesrovimab is well tolerated in China healthy preterm and full-term infants born during or entering their first RSV season, with a safety profile generally comparable to placebo.
P23-3.pdf	8	hl	ocr	The safety profile in the China subpopulation was generally consistent with that of the overall study population.
P27-2.pdf	1	hl	ocr	Worldwide, a large number of children are prescribed drugs on an outpatient basis.
P27-2.pdf	1	hl	ocr	Medication errors can be defined as errors that may occur at any step, starting from ordering a medication, to dispensing, administration of the drug and the subsequent monitoring.
P27-2.pdf	1	hl	ocr	The outcomes of such errors are variable and may range between those that are clinically insignificant to a life-threatening event.
P27-2.pdf	1	hl	ocr	Overdosing and under-dosing (10-fold calculation errors), an increased or a decreased frequency of dosing or an inappropriate duration of administration of the medication, are frequently detected errors.
P27-3.pdf	1	hl	ocr	A total of 1,115 clinically significant prescribing errors involving medication dosage forms were detected during the 60-month study period.
P27-3.pdf	1	hl	ocr	Hospitalized patients are at risk for adverse outcomes due to prescribing errors related to inappropriate use of medication dosage forms.
P3-2.pdf	2	hl	ocr	其中G和F蛋白是RSV胶表面糖蛋白,C虾白主要负责病毒与宿主细胞黏附,F蛋白介导病毒与宿主细胞膜融合,二者亦是刺激机体产生中和抗体的主要病毒抗原虾白
P3-3.pdf	2	hl	ocr	RSV是导致婴儿呼吸道感染最常见的病毒,具有明显的季节性,传染性较强,其R为4.5(IQR:1.7~8.2)
P3-3.pdf	2	hl	ocr	80%以上儿童在1岁前被感染,儿乎所有儿童在2岁前均感染过RSV
P6-1.pdf	3	hl	ocr	RSV感染属于自限性疾病,绝大多数感染患儿预后良好,不遗留后遗症。
P6-1.pdf	3	hl	ocr	少数患儿感染后期可出现反复喘息、支气管哮喘,部分遗留感染后闭塞性细支气管炎等。
P6-1.pdf	3	hl	ocr	发生重症和危重症的高危人群为早产儿(不32周).出生低体重儿.具有支气管肺发育不良.慢性肺疾病血流动力学改变的先天性心脏病,囊性纤维化、神经肌肉疾病等潜在基础疾病和免疫功能不全的儿童(如原发性免疫缺陷病,移植患儿和人类免疫缺陷病毒感染者)“。
P8-10.pdf	1	hl	ocr	On September 22, 2023, ACIP and CDC recommended RSVpreF vaccine using seasonal administration (i.e., during September through end of January in most of the continental United States) for pregnant persons as a one-time dose at 32-36 weeks’ gestation for prevention of RSV-associated LRTI in infants aged <6 months.
